objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,publisher,publicationdate,characters,illustrator
wm1,watermillfrontcover.jpg,,,Peter Pan Watermill Front Cover,J.M. Barrie,1911,Peter Pan and the Darling Children flying over London with Tinkerbell ahead with the title and author of the book above them and the publisher beneath them,easy reader classic,New Jersey,,,"J.M. Barrie's Peter Pan and Wendy, Mabel Lucie Atwell, https://catalog.hathitrust.org/Record/006672623",,image,JPEG,English,Fair Use,This is being used for educational purposes only,Watermill Press,1987,"Peter Pan, Wendy Darling, John Darling, Michael Darling, Tinkerbell",,
wm2,watermillbackcover.jpg,,,Peter Pan Watermill Back Cover,J.M. Barrie,1911,A summary of the novel is featured on the back,easy reader classic,New Jersey,,,"J.M. Barrie's Peter Pan and Wendy, Mabel Lucie Atwell, https://catalog.hathitrust.org/Record/006672623",,image,JPEG,English,Fair Use,This is being used for educational purposes only,Watermill Press,1987,"Wendy, Peter Pan, Captain Hook, mermaids, Natives, crocodile, Lost Boys, John Darling, Michael Darling",,
ch1,chilternbackcover.jpg,,,Peter Pan Chiltern Back Cover,J.M.Barrie,1911,A summary of the novel is portrayed among orange and level leaflike shapes on the back cover,classic novel,Hertfordshire,,,"Peter Pan: The Musical, Allen County Public Library, http://contentdm.acpl.lib.in.us/digital/collection/FWCT/id/4433.",,image,JPEG,English,Fair Use,This is being used for educational purposes only,Chiltern Publishing,2022,"Peter Pan, Wendy Darling, John Darling, Michael Darling, Lost Boys, Tiger Lily, Captain Hook",Gwynedd M. Hudson
ch2,chilternfrontcover.jpg,,,Peter Pan Chiltern Front Cover,J.M. Barrie,1911,The title and author of the novel surrounded by orange and yellow leaf like objects scattered all over the cover,classic novel,Hertfordshire,,,"Peter Pan: The Musical, Allen County Public Library, http://contentdm.acpl.lib.in.us/digital/collection/FWCT/id/4433.",,image,JPEG,English,Fair Use,This is being used for educational purposes only,Chiltern Publishing,2022,,Gwynedd M. Hudson
ch3,chilterncopyrightpage.jpg,,,Peter Pan Chiltern Copyright Page,J.M. Barrie,1911,The copyright page features Captain Hook raising his arm in the air as several of the pirates pull him on a cart like object above the copyright information,classic novel,Hertfordshire,,,"Peter Pan: The Musical, Allen County Public Library, http://contentdm.acpl.lib.in.us/digital/collection/FWCT/id/4433.",,image,JPEG,English,Fair Use,This is being used for educational purposes only,Chiltern Publishing,2022,"Captain Hook, pirates",Gwynedd M. Hudson
dk1,dkfrontcover.jpg,,,Peter Pan Dorling Kindersley Front Cover,J.M. Barrie,1911,Peter Pan and the Darling Children are flying over London,children's classic,England,,,"J.M. Barrie's Peter Pan and Wendy, Mabel Lucie Atwell, https://catalog.hathitrust.org/Record/006672623",,image,JPEG,English,Fair Use,This is being used for educational purposes only,Dorling Kindersley,2000,"Peter Pan, Wendy Darling, John Darling, Michael Darling, Tinkerbell",Chris Molan
dk2,dkbackcover.jpg,,,Peter Pan Dorling Kindersley Back Cover,J.M. Barrie,1911,A summary of the novel of Peter Pan with smaller pictures from the novel all over the back cover,children's classic,England,,,"J.M. Barrie's Peter Pan and Wendy, Mabel Lucie Atwell, https://catalog.hathitrust.org/Record/006672623",,image,JPEG,English,Fair Use,This is being used for education purposes only,Dorling Kindersley,2000,"Peter Pan, Captain Hook",Chris Molan
dk3,dkinsidepages.jpg,,,Peter Pan Dorling Kindersley Inside Pages,J.M. Barrie,1911,Pictures from the inside of the book with text over a couple of pages,children's classic,England,,,"J.M. Barrie's Peter Pan and Wendy, Mabel Lucie Atwell, https://catalog.hathitrust.org/Record/006672623",,image,JPEG,English,Fair Use,This is being used for educational purposes only,Dorling Kindersley,2000,"Natives, Pirates, Captain Hook, Lost Boys, Crocodile",Chris Molan
suz1,originalfrontcover.jpg,,,Peter Pan Suzeteo Front Cover,J.M. Barrie,1911,Picture of Peter Pan sitting on a rock and holding his flute while mermaids are reaching up and down the rock,classic novels,,,,"Peter Pan in Kensington Gardens, J.M. Barrie, https://catalog.hathitrust.org/Record/000428864",,image,JPEG,English,Public Domain,This is being used freely since it is now part of the public domain,Suzeteo Enterprises,2019,"Peter Pan, Mermaids",F.D. Bedford
suz2,originalbackcover.jpg,,,Peter Pan Suzeteo Back Cover,J.M. Barrie,1911,Picture of Peter Pan standing on Neverland and holding a sword,classic novels,,,,"Peter Pan in Kensignton Gardens, J.M. Barrie, https://catalog.hathitrust.org/Record/000428864",,image,JPEG,English,Public Domain,This is being used freely since it is a part of public domain,Suzeteo Enterprises,2019,"Peter Pan",F.D. Bedford
